,Genotype,Location,InfectionStatus,Block,IFNg,IL-5,TNF-a,IL-6,IL-17A,IL-22
426,129SL,Lab,Infected,Block1,4.727920455,4.714795011,2.189033824,3.224966365,2.50589093,3.695993813
427,129SL,SF,Uninfected,Block1,1.176322773,6.296457407,2.480265122,3.619413011,1.350497247,0.516015147
428,129SL,Lab,Uninfected,Block1,0.839959587,3.659924558,2.272023189,0.5360529,0.555816155,1.250961574
429,129SL,SF,Infected,Block1,2.66448284,3.7473874,2.689299161,3.814550423,0.82374936,0.495695163
433,129SL,Lab,Infected,Block1,0.641546029,5.073820233,2.147306699,2.195347598,1.790772038,2.025028794
434,129SL,Lab,Uninfected,Block1,0.59454855,4.554588852,1.744161096,0.565597176,1.438292852,2.819668183
435,129SL,Lab,Uninfected,Block1,0.887525271,4.883132016,1.608809243,2.283921772,2.344828497,4.114367025
N/A,129SL,SF,Uninfected,Block1,0.831877241,3.710393192,1.550900665,2.910732662,1.521050737,0.137503524
437,129SL,SF,Infected,Block1,1.063502942,4.280213996,2.684818738,3.75595577,1.757023247,3.241840184
438,129SL,Lab,Infected,Block1,0.887525271,4.393004257,1.560714954,0.5360529,0.575312331,0.137503524
440,129SL,Lab,Infected,Block1,0.871843649,2.95419631,1.996388746,1.316145742,0.925999419,3.440952198
441,129SL,SF,Uninfected,Block1,0.722466024,4.521678952,0.070389328,3.797012978,2.883620816,0.137503524
478,129SL,Lab,Uninfected,Block1,0.739848103,2.622930351,1.275007047,1.389566812,0.411426246,2.087462841
475,129SL,SF,Uninfected,Block1,0.475084883,4.257764969,1.189033824,3.35614381,1.650764559,1.495695163
445,129SL,Lab,Uninfected,Block1,0.545968369,3.691534165,2.137503524,1.176322773,1.40599236,2.89917563
446,129SL,SF,Uninfected,Block1,7.758489739,4.650764559,2.114367025,3.830863757,1.550900665,2.709290636
447,129SL,Lab,Infected,Block1,0.584962501,4.836934011,2.247927513,1.35614381,1.378511623,2.22650853
476/500,129SL,SF,Infected,Block1,3.702657543,4.100136671,2.066950244,3.777156666,5.427606173,1.713695815
450,PWK,SF,Uninfected,Block1,1.070389328,2.263034406,3.765534746,3.632268215,1.560714954,1.495695163
451,PWK,Lab,Infected,Block1,0.555816155,0.485426827,1.622930351,3.765534746,3.365972428,1.244887059
452,PWK,SF,Infected,Block1,0.799087306,0.687060688,0.464668267,4.030336078,1.028569152,0.163498732
453,PWK,SF,Infected,Block1,0.704871964,0.485426827,0.084064265,4.327687364,0.86393845,1.220329955
454,PWK,Lab,Uninfected,Block1,0.367371066,1.815575429,2.321928095,3.575312331,1.23878686,0.137503524
455,PWK,Lab,Infected,Block1,0.545968369,0.485426827,0.298658316,2.49057013,1.22650853,0.137503524
456,PWK,Lab,Uninfected,Block1,0.378511623,0.485426827,1.411426246,2.776103988,0.704871964,0.137503524
459,PWK,SF,Uninfected,Block1,0.250961574,1.815575429,3.017921908,3.702657543,0.773996325,0.137503524
460,PWK,Lab,Infected,Block1,0.310340121,0.555816155,0.070389328,1.475084883,0.669026766,0.137503524
